### GOLDEN RATIO ###
        a          c         d         b  |       f(a)       f(c)      f(d)      f(b)
-6.000000  -1.416408  1.416408  6.000000  |  81.000000  19.504658  2.507764  9.000000
-1.416408   1.416408  3.167184  6.000000  |  19.504658   2.507764  0.027951  9.000000
 1.416408   3.167184  4.249224  6.000000  |   2.507764   0.027951  1.560560  9.000000
 1.416408   2.498447  3.167184  4.249224  |   2.507764   0.251555  0.027951  1.560560
 2.498447   3.167184  3.580487  4.249224  |   0.251555   0.027951  0.336965  1.560560
 2.498447   2.911749  3.167184  3.580487  |   0.251555   0.007788  0.027951  0.336965
 2.498447   2.753882  2.911749  3.167184  |   0.251555   0.060574  0.007788  0.027951
 2.753882   2.911749  3.009317  3.167184  |   0.060574   0.007788  0.000087  0.027951
 2.911749   3.009317  3.069617  3.167184  |   0.007788   0.000087  0.004847  0.027951
 2.911749   2.972049  3.009317  3.069617  |   0.007788   0.000781  0.000087  0.004847
 2.972049   3.009317  3.032349  3.069617  |   0.000781   0.000087  0.001046  0.004847
 2.972049   2.995082  3.009317  3.032349  |   0.000781   0.000024  0.000087  0.001046
 2.972049   2.986284  2.995082  3.009317  |   0.000781   0.000188  0.000024  0.000087
 2.986284   2.995082  3.000519  3.009317  |   0.000188   0.000024  0.000000  0.000087
 2.995082   3.000519  3.003880  3.009317  |   0.000024   0.000000  0.000015  0.000087
 2.995082   2.998442  3.000519  3.003880  |   0.000024   0.000002  0.000000  0.000015
 2.998442   3.000519  3.001803  3.003880  |   0.000002   0.000000  0.000003  0.000015
 2.998442   2.999726  3.000519  3.001803  |   0.000002   0.000000  0.000000  0.000003
 2.998442   2.999236  2.999726  3.000519  |   0.000002   0.000001  0.000000  0.000000
 2.999236   2.999726  3.000029  3.000519  |   0.000001   0.000000  0.000000  0.000000
 2.999726   3.000029  3.000216  3.000519  |   0.000000   0.000000  0.000000  0.000000
 2.999726   2.999913  3.000029  3.000216  |   0.000000   0.000000  0.000000  0.000000
 2.999913   3.000029  3.000100  3.000216  |   0.000000   0.000000  0.000000  0.000000
 2.999913   2.999985  3.000029  3.000100  |   0.000000   0.000000  0.000000  0.000000
 2.999913   2.999957  2.999985  3.000029  |   0.000000   0.000000  0.000000  0.000000
 2.999957   2.999985  3.000002  3.000029  |   0.000000   0.000000  0.000000  0.000000
 2.999985   3.000002  3.000012  3.000029  |   0.000000   0.000000  0.000000  0.000000
 2.999985   2.999995  3.000002  3.000012  |   0.000000   0.000000  0.000000  0.000000
 2.999995   3.000002  3.000006  3.000012  |   0.000000   0.000000  0.000000  0.000000
 2.999995   2.999999  3.000002  3.000006  |   0.000000   0.000000  0.000000  0.000000
 2.999995   2.999998  2.999999  3.000002  |   0.000000   0.000000  0.000000  0.000000
 2.999998   2.999999  3.000000  3.000002  |   0.000000   0.000000  0.000000  0.000000
 2.999999   3.000000  3.000001  3.000002  |   0.000000   0.000000  0.000000  0.000000
 2.999999   3.000000  3.000000  3.000001  |   0.000000   0.000000  0.000000  0.000000


### NELDER-MEAD ###
       xC  |      f(xC)
10.000000  |  49.000000
 8.000000  |  25.000000
 4.000000  |   1.000000


### HOOKE-JEEVES ###
       xB         xP        xN  |      f(xB)      f(xP)      f(xN)
10.000000  10.000000  9.500000  |  49.000000  49.000000  42.250000
 9.500000   9.000000  8.500000  |  42.250000  36.000000  30.250000
 8.500000   7.500000  7.000000  |  30.250000  20.250000  16.000000
 7.000000   5.500000  5.000000  |  16.000000   6.250000   4.000000
 5.000000   3.000000  3.000000  |   4.000000   0.000000   0.000000
 3.000000   1.000000  1.500000  |   0.000000   4.000000   2.250000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
 3.000000   3.000000  3.000000  |   0.000000   0.000000   0.000000
