### GOLDEN RATIO ###
          a           c           d          b  |          f(a)         f(c)         f(d)         f(b)
-156.000000  -82.662526  -37.337474  36.000000  |  25281.000000  7338.068333  1627.111822  1089.000000
 -82.662526  -37.337474   -9.325052  36.000000  |   7338.068333  1627.111822   151.906899  1089.000000
 -37.337474   -9.325052    7.987578  36.000000  |   1627.111822   151.906899    24.875930  1089.000000
  -9.325052    7.987578   18.687371  36.000000  |    151.906899    24.875930   246.093603  1089.000000
  -9.325052    1.374742    7.987578  18.687371  |    151.906899     2.641465    24.875930   246.093603
  -9.325052   -2.712216    1.374742   7.987578  |    151.906899    32.629409     2.641465    24.875930
  -2.712216    1.374742    3.900620   7.987578  |     32.629409     2.641465     0.811117    24.875930
   1.374742    3.900620    5.461699   7.987578  |      2.641465     0.811117     6.059962    24.875930
   1.374742    2.935820    3.900620   5.461699  |      2.641465     0.004119     0.811117     6.059962
   1.374742    2.339541    2.935820   3.900620  |      2.641465     0.436206     0.004119     0.811117
   2.339541    2.935820    3.304341   3.900620  |      0.436206     0.004119     0.092624     0.811117
   2.339541    2.708062    2.935820   3.304341  |      0.436206     0.085228     0.004119     0.092624
   2.708062    2.935820    3.076583   3.304341  |      0.085228     0.004119     0.005865     0.092624
   2.708062    2.848824    2.935820   3.076583  |      0.085228     0.022854     0.004119     0.005865
   2.848824    2.935820    2.989587   3.076583  |      0.022854     0.004119     0.000108     0.005865
   2.935820    2.989587    3.022816   3.076583  |      0.004119     0.000108     0.000521     0.005865
   2.935820    2.969050    2.989587   3.022816  |      0.004119     0.000958     0.000108     0.000521
   2.969050    2.989587    3.002279   3.022816  |      0.000958     0.000108     0.000005     0.000521
   2.989587    3.002279    3.010124   3.022816  |      0.000108     0.000005     0.000102     0.000521
   2.989587    2.997431    3.002279   3.010124  |      0.000108     0.000007     0.000005     0.000102
   2.997431    3.002279    3.005276   3.010124  |      0.000007     0.000005     0.000028     0.000102
   2.997431    3.000428    3.002279   3.005276  |      0.000007     0.000000     0.000005     0.000028
   2.997431    2.999283    3.000428   3.002279  |      0.000007     0.000001     0.000000     0.000005
   2.999283    3.000428    3.001135   3.002279  |      0.000001     0.000000     0.000001     0.000005
   2.999283    2.999990    3.000428   3.001135  |      0.000001     0.000000     0.000000     0.000001
   2.999283    2.999720    2.999990   3.000428  |      0.000001     0.000000     0.000000     0.000000
   2.999720    2.999990    3.000157   3.000428  |      0.000000     0.000000     0.000000     0.000000
   2.999720    2.999887    2.999990   3.000157  |      0.000000     0.000000     0.000000     0.000000
   2.999887    2.999990    3.000054   3.000157  |      0.000000     0.000000     0.000000     0.000000
   2.999887    2.999951    2.999990   3.000054  |      0.000000     0.000000     0.000000     0.000000
   2.999951    2.999990    3.000015   3.000054  |      0.000000     0.000000     0.000000     0.000000
   2.999951    2.999975    2.999990   3.000015  |      0.000000     0.000000     0.000000     0.000000
   2.999975    2.999990    3.000000   3.000015  |      0.000000     0.000000     0.000000     0.000000
   2.999990    3.000000    3.000005   3.000015  |      0.000000     0.000000     0.000000     0.000000
   2.999990    2.999996    3.000000   3.000005  |      0.000000     0.000000     0.000000     0.000000
   2.999996    3.000000    3.000002   3.000005  |      0.000000     0.000000     0.000000     0.000000
   2.999996    2.999998    3.000000   3.000002  |      0.000000     0.000000     0.000000     0.000000
   2.999998    3.000000    3.000001   3.000002  |      0.000000     0.000000     0.000000     0.000000
   2.999998    2.999999    3.000000   3.000001  |      0.000000     0.000000     0.000000     0.000000
   2.999999    3.000000    3.000000   3.000001  |      0.000000     0.000000     0.000000     0.000000


### NELDER-MEAD ###
        xC  |        f(xC)
100.000000  |  9409.000000
 98.000000  |  9025.000000
 94.000000  |  8281.000000
 86.000000  |  6889.000000
 70.000000  |  4489.000000
 38.000000  |  1225.000000
-26.000000  |   841.000000
  6.000000  |     9.000000
  6.000000  |     9.000000
  6.000000  |     9.000000
  2.000000  |     1.000000


### HOOKE-JEEVES ###
        xB          xP         xN  |        f(xB)        f(xP)        f(xN)
100.000000  100.000000  99.500000  |  9409.000000  9409.000000  9312.250000
 99.500000   99.000000  98.500000  |  9312.250000  9216.000000  9120.250000
 98.500000   97.500000  97.000000  |  9120.250000  8930.250000  8836.000000
 97.000000   95.500000  95.000000  |  8836.000000  8556.250000  8464.000000
 95.000000   93.000000  92.500000  |  8464.000000  8100.000000  8010.250000
 92.500000   90.000000  89.500000  |  8010.250000  7569.000000  7482.250000
 89.500000   86.500000  86.000000  |  7482.250000  6972.250000  6889.000000
 86.000000   82.500000  82.000000  |  6889.000000  6320.250000  6241.000000
 82.000000   78.000000  77.500000  |  6241.000000  5625.000000  5550.250000
