       xC  |      f(xC)
 5.000000  |  12.683034
 5.250000  |   8.633640
 5.250000  |   8.633640
 5.093750  |   8.061105
 5.148438  |   7.691268
 5.083984  |   7.498655
 5.095215  |   7.342122
 5.095215  |   7.342122
 5.065796  |   7.278679
 5.001740  |   7.235724
 4.871017  |   6.905004
 4.740295  |   6.808876
 4.481461  |   6.473094
 4.094078  |   5.905734
 3.382717  |   4.928281
 2.252272  |   3.284448
 0.264327  |   0.365374
-1.090158  |   1.732606
-0.347241  |   0.543604
 0.395677  |   0.560192
 0.002327  |   0.026455
 0.275448  |   0.386467
 0.114390  |   0.155405
-0.046667  |   0.072864
-0.046667  |   0.072864
 0.005845  |   0.010481
 0.005845  |   0.010481
 0.005124  |   0.006204
-0.000380  |   0.006335
 0.013673  |   0.016586
 0.005885  |   0.006004
 0.000298  |   0.007911
 0.003981  |   0.005908
 0.004012  |   0.005363
 0.003411  |   0.005108
 0.005110  |   0.005480
 0.004302  |   0.005113
 0.003173  |   0.004914
 0.003621  |   0.004726
 0.003613  |   0.004262
 0.003298  |   0.003549
 0.002983  |   0.003010
 0.001462  |   0.001482
-0.000060  |   0.000145
-0.000374  |   0.000910
 0.000010  |   0.000412
 0.000072  |   0.000080
-0.000337  |   0.000503
-0.000000  |   0.000254
 0.000209  |   0.000249
 0.000092  |   0.000190
 0.000044  |   0.000067
-0.000010  |   0.000010
 0.000064  |   0.000073
 0.000036  |   0.000039
 0.000020  |   0.000020
-0.000020  |   0.000020
 0.000004  |   0.000006
-0.000001  |   0.000011
-0.000009  |   0.000009
-0.000001  |   0.000001
 0.000002  |   0.000005
-0.000001  |   0.000003
 0.000002  |   0.000003
 0.000001  |   0.000001
 0.000000  |   0.000001
      xB        xP        xN  |     f(xB)     f(xP)     f(xN)
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
5.000000  5.000000  5.000000  |  7.071068  7.071068  7.071068
