      xC  |      f(xC)
0.500000  |  56.500000
0.500000  |  56.500000
0.750000  |   0.453125
0.750000  |   0.453125
0.906250  |   5.921665
0.851562  |   0.672112
0.796875  |   0.617762
0.800781  |   0.043894
0.774414  |   0.293038
0.841064  |   0.053665
0.873230  |   0.024655
0.873230  |   0.024655
0.888191  |   0.013490
0.929035  |   0.006015
0.955628  |   0.003226
0.955628  |   0.003226
0.962515  |   0.001830
0.998609  |   0.002212
0.985727  |   0.000684
0.972845  |   0.000737
0.984451  |   0.000245
0.996057  |   0.000055
0.995420  |   0.000036
0.997620  |   0.000007
1.002713  |   0.000008
1.000224  |   0.000000
0.998300  |   0.000003
0.999859  |   0.000003
0.999652  |   0.000000
1.000276  |   0.000000
0.999704  |   0.000000
       xC  |       f(xC)
 0.500000  |  156.500000
-0.500000  |  158.500000
-0.250000  |   48.828125
-0.375000  |    1.915039
-0.500000  |    8.500000
-0.312500  |    2.529846
 0.156250  |    2.108189
-0.007812  |    1.314091
-0.007812  |    1.314091
 0.076172  |    1.005600
 0.015137  |    1.005352
 0.041870  |    0.936492
 0.059906  |    0.891641
 0.131729  |    0.891630
 0.131809  |    0.826398
 0.155924  |    0.740214
 0.180038  |    0.678002
 0.252062  |    0.636003
 0.234136  |    0.599822
 0.258251  |    0.553989
 0.333369  |    0.518899
 0.338704  |    0.475239
 0.375302  |    0.407472
 0.411901  |    0.354796
 0.500357  |    0.396522
 0.483578  |    0.321286
 0.476709  |    0.274647
 0.515025  |    0.249242
 0.561534  |    0.211772
 0.597078  |    0.163109
 0.632621  |    0.138475
 0.706481  |    0.099582
 0.706481  |    0.099582
 0.710231  |    0.085995
 0.765421  |    0.055162
 0.820611  |    0.033708
 0.844008  |    0.024708
 0.873702  |    0.022157
 0.865229  |    0.018971
 0.899236  |    0.010687
 0.916249  |    0.007139
 0.933263  |    0.004479
 0.950276  |    0.002494
 0.967289  |    0.001172
 0.958811  |    0.003919
 0.956663  |    0.001933
 0.962513  |    0.001483
 0.968881  |    0.001241
 0.970084  |    0.000907
 0.979461  |    0.000428
 0.995850  |    0.000017
 1.012238  |    0.000197
 1.007591  |    0.000152
 1.002882  |    0.000010
 0.997027  |    0.000016
 0.999064  |    0.000007
 1.000464  |    0.000001
 1.000220  |    0.000002
 0.998790  |    0.000001
 0.999984  |    0.000000
 0.999984  |    0.000000
       xC  |       f(xC)
 0.500000  |  306.500000
-1.000000  |  104.000000
 0.125000  |  259.774414
-0.343750  |  201.486851
 0.031250  |   17.363132
 0.031250  |   17.363132
-0.050781  |    1.865660
-0.193359  |    1.970823
-0.193359  |    1.970823
-0.131104  |    1.295885
-0.131104  |    1.295885
-0.001648  |    1.113156
-0.065964  |    1.136844
-0.017315  |    1.057999
 0.048649  |    0.962595
 0.107603  |    0.816615
 0.166557  |    0.707673
 0.100594  |    0.825649
 0.137904  |    0.745135
 0.202528  |    0.645237
 0.203687  |    0.634895
 0.248314  |    0.567666
 0.291783  |    0.509187
 0.324674  |    0.490532
 0.349922  |    0.468068
 0.380151  |    0.417128
 0.418738  |    0.352737
 0.457325  |    0.303007
 0.512630  |    0.238457
 0.567934  |    0.187569
 0.656673  |    0.121154
 0.646052  |    0.144884
 0.665267  |    0.113648
 0.720886  |    0.077931
 0.776505  |    0.062532
 0.775999  |    0.051534
 0.830351  |    0.029020
 0.861888  |    0.019099
 0.917915  |    0.006808
 0.956411  |    0.001931
 0.994908  |    0.000743
 1.007108  |    0.000156
 1.005776  |    0.001224
 0.999343  |    0.000493
 1.001617  |    0.000180
 0.997832  |    0.000089
 1.011653  |    0.000170
 1.003180  |    0.000124
 1.002624  |    0.000089
 1.002069  |    0.000059
 1.001513  |    0.000035
 1.000957  |    0.000018
 1.000402  |    0.000006
 0.999846  |    0.000001
 1.005680  |    0.000034
 1.002346  |    0.000008
 0.999012  |    0.000004
 1.000818  |    0.000002
 1.000784  |    0.000001
 0.999855  |    0.000000
       xC  |       f(xC)
 0.500000  |  506.500000
-0.500000  |  308.500000
-0.250000  |   33.203125
 0.375000  |    4.516602
 0.031250  |   11.641087
-0.343750  |    9.229160
-0.273438  |    1.914737
-0.273438  |    1.914737
-0.084961  |    1.236229
-0.084961  |    1.236229
-0.100220  |    1.235365
-0.067535  |    1.144056
 0.032684  |    1.019664
-0.025597  |    1.059378
 0.009943  |    1.006001
 0.066108  |    0.887198
 0.145383  |    0.738388
 0.188313  |    0.662740
 0.259292  |    0.548878
 0.330270  |    0.448602
 0.457346  |    0.321202
 0.466794  |    0.286123
 0.617489  |    0.146471
 0.617489  |    0.146471
 0.619083  |    0.166555
 0.633595  |    0.137857
 0.694830  |    0.093344
 0.756064  |    0.086508
 0.713766  |    0.087239
 0.738234  |    0.074624
 0.777148  |    0.057093
 0.816062  |    0.049350
 0.834933  |    0.035590
 0.814890  |    0.034272
 0.839065  |    0.026313
 0.879459  |    0.014608
 0.937399  |    0.004283
 0.917610  |    0.009833
 0.935512  |    0.004527
 0.967542  |    0.001102
 0.999573  |    0.000663
 0.994154  |    0.000130
 1.001750  |    0.000148
 1.000940  |    0.000001
 0.997344  |    0.000076
 1.006016  |    0.000058
 1.001310  |    0.000014
 1.000816  |    0.000001
 0.997533  |    0.000006
 1.000243  |    0.000003
 0.999852  |    0.000000
 1.000914  |    0.000001
 0.999922  |    0.000000
       xC  |       f(xC)
 0.500000  |  756.500000
-0.750000  |  331.578125
-0.750000  |  331.578125
-0.750000  |  331.578125
 0.390625  |   18.521101
-0.234375  |   38.627722
-0.625000  |   32.547852
-0.390625  |    3.394301
 0.195312  |    3.705324
-0.009766  |    2.755184
-0.009766  |    2.755184
 0.095215  |    1.016361
 0.095215  |    1.016361
 0.033264  |    0.969090
 0.089188  |    0.829689
 0.189705  |    0.804113
 0.197840  |    0.681671
 0.248971  |    0.564528
 0.314046  |    0.520942
 0.295453  |    0.503925
 0.369826  |    0.401161
 0.407012  |    0.353410
 0.444198  |    0.311254
 0.481385  |    0.275725
 0.499979  |    0.289304
 0.532517  |    0.221771
 0.588296  |    0.169500
 0.683587  |    0.130209
 0.683006  |    0.103165
 0.776845  |    0.059489
 0.752804  |    0.063836
 0.778461  |    0.049959
 0.833006  |    0.037653
 0.841037  |    0.029062
 0.815380  |    0.036833
 0.826201  |    0.030366
 0.834929  |    0.027249
 0.867569  |    0.020202
 0.868137  |    0.018335
 0.902197  |    0.012291
 0.894250  |    0.011765
 0.906360  |    0.008823
 0.942502  |    0.004465
 0.945577  |    0.003276
 0.989406  |    0.001577
 0.981524  |    0.000579
 1.000233  |    0.000125
 0.984967  |    0.000251
 0.994446  |    0.000031
 1.003925  |    0.000079
 1.004724  |    0.000023
 0.999385  |    0.000004
 1.001743  |    0.000004
 0.999663  |    0.000000
 1.001847  |    0.000007
 1.001249  |    0.000002
 1.000636  |    0.000001
 1.000782  |    0.000001
 1.000138  |    0.000000
       xC  |        f(xC)
 0.500000  |  1056.500000
-1.000000  |   310.250000
-1.000000  |   310.250000
-0.437500  |    95.158752
-0.437500  |    95.158752
-0.468750  |     3.332249
-0.468750  |     3.332249
-0.105469  |     1.984112
-0.260742  |     2.182880
-0.117920  |     1.274508
-0.117920  |     1.274508
-0.109406  |     1.286470
 0.008514  |     1.122373
 0.117920  |     0.792644
 0.151657  |     0.720090
 0.269577  |     0.782042
 0.235920  |     0.621401
 0.202263  |     0.644154
 0.244394  |     0.571498
 0.324460  |     0.528535
 0.338181  |     0.486675
 0.351902  |     0.451123
 0.365622  |     0.420879
 0.379343  |     0.395026
 0.393064  |     0.372736
 0.464735  |     0.412738
 0.439190  |     0.347973
 0.413645  |     0.344371
 0.436708  |     0.324736
 0.468821  |     0.292520
 0.512319  |     0.250615
 0.534578  |     0.226994
 0.548772  |     0.210861
 0.567483  |     0.188319
 0.628455  |     0.140027
 0.727763  |     0.077102
 0.727763  |     0.077102
 0.736708  |     0.069340
 0.822233  |     0.035496
 0.822233  |     0.035496
 0.826124  |     0.031039
 0.888723  |     0.015111
 0.888723  |     0.015111
 0.889357  |     0.012890
 0.928755  |     0.005078
 0.968153  |     0.001092
 1.007551  |     0.002273
 0.998336  |     0.000087
 0.987929  |     0.000312
 1.002723  |     0.000039
 0.996831  |     0.000010
 1.001752  |     0.000004
 1.000036  |     0.000002
 0.997373  |     0.000025
 1.000228  |     0.000002
 1.001861  |     0.000004
 1.000842  |     0.000001
 0.999823  |     0.000001
 0.999725  |     0.000000
       xC  |        f(xC)
 0.500000  |  1406.500000
-1.250000  |   249.203125
-1.250000  |   249.203125
-0.593750  |    85.912632
-0.648438  |   253.444005
-0.648438  |   253.444005
 0.416992  |    30.951444
-0.157227  |    13.438329
-0.574219  |    20.305640
-0.416992  |     6.231387
 0.208496  |     6.063205
-0.078613  |     4.406981
-0.078613  |     4.406981
 0.084595  |     1.145272
 0.084595  |     1.145272
 0.012070  |     1.056206
 0.045315  |     0.947815
 0.017364  |     0.974936
 0.044362  |     0.913641
 0.093541  |     0.829461
 0.142720  |     0.794878
 0.182265  |     0.733102
 0.187585  |     0.660706
 0.225799  |     0.606974
 0.280299  |     0.528704
 0.370190  |     0.433531
 0.364002  |     0.407628
 0.415679  |     0.341483
 0.473544  |     0.302979
 0.483369  |     0.276219
 0.565797  |     0.230426
 0.555016  |     0.211184
 0.610489  |     0.158450
 0.665963  |     0.123870
 0.699873  |     0.091959
 0.746870  |     0.076529
 0.732940  |     0.071774
 0.771212  |     0.052452
 0.823414  |     0.050895
 0.787745  |     0.049092
 0.807532  |     0.041107
 0.821330  |     0.031929
 0.837667  |     0.027024
 0.868649  |     0.018622
 0.922444  |     0.013538
 0.923639  |     0.009729
 0.944162  |     0.004774
 0.964684  |     0.001996
 0.927227  |     0.005402
 0.945058  |     0.003541
 0.950413  |     0.002666
 0.981632  |     0.002096
 0.979182  |     0.001209
 0.984280  |     0.000340
 0.989378  |     0.000178
 1.014472  |     0.000225
 1.000651  |     0.000001
 1.001019  |     0.000150
 1.007654  |     0.000061
 1.002494  |     0.000017
 1.000037  |     0.000003
 0.997395  |     0.000010
 1.000605  |     0.000003
 0.999518  |     0.000000
 1.000506  |     0.000001
 1.000210  |     0.000000
 0.999543  |     0.000001
       xC  |        f(xC)
 0.500000  |  1806.500000
-1.500000  |   162.500000
 0.000000  |  1057.250000
-0.625000  |   530.204102
-0.125000  |     1.875977
-0.125000  |     1.875977
-0.015625  |    70.869833
 0.058594  |     9.844363
 0.058594  |     9.844363
-0.088379  |     1.952789
 0.147217  |     0.798409
 0.220703  |     0.856534
 0.349487  |     0.423350
 0.349487  |     0.423350
 0.351761  |     0.460989
 0.443680  |     0.364970
 0.533325  |     0.229220
 0.557442  |     0.199839
 0.581558  |     0.176048
 0.638439  |     0.223570
 0.583720  |     0.184208
 0.583720  |     0.184208
 0.596319  |     0.175463
 0.573097  |     0.184231
 0.591501  |     0.166871
 0.623636  |     0.145236
 0.645401  |     0.134470
 0.690466  |     0.107664
 0.758576  |     0.091483
 0.742573  |     0.076850
 0.766641  |     0.059579
 0.790709  |     0.046492
 0.814778  |     0.036220
 0.838846  |     0.028198
 0.826875  |     0.041663
 0.853936  |     0.024796
 0.908578  |     0.009976
 0.923019  |     0.006014
 0.978700  |     0.010147
 0.961690  |     0.002477
