        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-42.014173  -42.014173  -41.514173  |  0.515380  0.515380  0.490829
-41.514173  -41.014173  -41.014173  |  0.490829  0.480452  0.480452
-41.014173  -40.514173  -41.014173  |  0.480452  0.503386  0.480452
-41.014173  -41.014173  -41.264173  |  0.480452  0.480452  0.479581
-41.264173  -41.514173  -41.264173  |  0.479581  0.480890  0.479581
-41.264173  -41.264173  -41.264173  |  0.479581  0.479581  0.479581
-41.264173  -41.264173  -41.264173  |  0.479581  0.479581  0.479581
-41.264173  -41.264173  -41.232923  |  0.479581  0.479581  0.479570
-41.232923  -41.201673  -41.232923  |  0.479570  0.479594  0.479570
-41.232923  -41.232923  -41.232923  |  0.479570  0.479570  0.479570
-41.232923  -41.232923  -41.240736  |  0.479570  0.479570  0.479570
-41.240736  -41.248548  -41.240736  |  0.479570  0.479571  0.479570
-41.240736  -41.240736  -41.236829  |  0.479570  0.479570  0.479570
-41.236829  -41.232923  -41.236829  |  0.479570  0.479570  0.479570
-41.236829  -41.236829  -41.238783  |  0.479570  0.479570  0.479570
-41.238783  -41.240736  -41.238783  |  0.479570  0.479570  0.479570
-41.238783  -41.238783  -41.238783  |  0.479570  0.479570  0.479570
-41.238783  -41.238783  -41.238783  |  0.479570  0.479570  0.479570
-41.238783  -41.238783  -41.238538  |  0.479570  0.479570  0.479570
-41.238538  -41.238294  -41.238538  |  0.479570  0.479570  0.479570
-41.238538  -41.238538  -41.238661  |  0.479570  0.479570  0.479570
-41.238661  -41.238783  -41.238661  |  0.479570  0.479570  0.479570
-41.238661  -41.238661  -41.238600  |  0.479570  0.479570  0.479570
-41.238600  -41.238538  -41.238600  |  0.479570  0.479570  0.479570
-41.238600  -41.238600  -41.238600  |  0.479570  0.479570  0.479570
-41.238600  -41.238600  -41.238600  |  0.479570  0.479570  0.479570
-41.238600  -41.238600  -41.238600  |  0.479570  0.479570  0.479570
-41.238600  -41.238600  -41.238603  |  0.479570  0.479570  0.479570
-41.238603  -41.238607  -41.238603  |  0.479570  0.479570  0.479570
-41.238603  -41.238603  -41.238603  |  0.479570  0.479570  0.479570
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-21.077489  -21.077489  -20.577489  |  0.551208  0.551208  0.303932
-20.577489  -20.077489  -20.577489  |  0.303932  0.337675  0.275737
-20.577489  -20.577489  -20.577489  |  0.275737  0.276743  0.275737
-20.577489  -20.577489  -20.577489  |  0.275737  0.275737  0.272766
-20.577489  -20.577489  -20.577489  |  0.272766  0.276743  0.272766
-20.577489  -20.577489  -20.577489  |  0.272766  0.272766  0.272766
-20.577489  -20.577489  -20.577489  |  0.272766  0.272766  0.272766
-20.577489  -20.577489  -20.577489  |  0.272766  0.272766  0.272747
-20.577489  -20.577489  -20.577489  |  0.272747  0.272837  0.272747
-20.577489  -20.577489  -20.577489  |  0.272747  0.272747  0.272743
-20.577489  -20.577489  -20.593114  |  0.272743  0.272766  0.272742
-20.593114  -20.608739  -20.608739  |  0.272742  0.272755  0.272741
