### EULER ###
       tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
 1.000000  |   1.391596  -0.288716  |   1.388709  -0.302632
 2.000000  |   0.511532  -1.333616  |   0.498196  -1.338731
 3.000000  |  -0.850018  -1.156793  |  -0.861586  -1.148292
 4.000000  |  -1.439858   0.090652  |  -1.438952   0.105051
 5.000000  |  -0.705237   1.266873  |  -0.692568   1.273926
 6.000000  |   0.688387   1.284359  |   0.701230   1.277475
 7.000000  |   1.459965   0.115308  |   1.461118   0.100708
 8.000000  |   0.890330  -1.172033  |   0.878610  -1.180936
 9.000000  |  -0.507670  -1.389385  |  -0.521564  -1.384308
10.000000  |  -1.450647  -0.325168  |  -1.453898  -0.310662
ERROR: 46.07769802920363

### REVERSED EULER ###
       tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
 1.000000  |   1.377888  -0.285872  |   1.374892  -0.299621
 2.000000  |   0.501454  -1.307341  |   0.488331  -1.312224
 3.000000  |  -0.824980  -1.122718  |  -0.836124  -1.114357
 4.000000  |  -1.383542   0.087107  |  -1.382532   0.100932
 5.000000  |  -0.670911   1.205211  |  -0.658793   1.211799
 6.000000  |   0.648365   1.209688  |   0.660396   1.203084
 7.000000  |   1.361403   0.107524  |   1.362342   0.093900
 8.000000  |   0.821964  -1.082035  |   0.811062  -1.090146
 9.000000  |  -0.464024  -1.269935  |  -0.476676  -1.265168
10.000000  |  -1.312737  -0.294255  |  -1.315548  -0.281100
ERROR: 44.55335547031297

### TRAPEZOID ###
       tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
 1.000000  |   1.384718  -0.287325  |   1.381776  -0.301157
 2.000000  |   0.506402  -1.320438  |   0.493173  -1.325436
 3.000000  |  -0.837491  -1.139565  |  -0.848844  -1.131134
 4.000000  |  -1.411410   0.089003  |  -1.410450   0.103112
 5.000000  |  -0.687705   1.235743  |  -0.675314   1.242558
 6.000000  |   0.668263   1.246365  |   0.680693   1.239620
 7.000000  |   1.409843   0.111102  |   1.410883   0.096998
 8.000000  |   0.855239  -1.126306  |   0.843934  -1.134802
 9.000000  |  -0.485655  -1.328209  |  -0.498913  -1.323286
10.000000  |  -1.380047  -0.308981  |  -1.383068  -0.295166
ERROR: 0.07551070466381007

### RUNGE-KUTTA ###
       tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
 1.000000  |   1.384716  -0.287336  |   1.381773  -0.301169
 2.000000  |   0.506380  -1.320447  |   0.493151  -1.325444
 3.000000  |  -0.837519  -1.139545  |  -0.848872  -1.131113
 4.000000  |  -1.411407   0.089049  |  -1.410446   0.103159
 5.000000  |  -0.687654   1.235772  |  -0.675262   1.242586
 6.000000  |   0.668325   1.246331  |   0.680755   1.239586
 7.000000  |   1.409849   0.111019  |   1.410889   0.096916
 8.000000  |   0.855164  -1.126363  |   0.843858  -1.134858
 9.000000  |  -0.485755  -1.328173  |  -0.499012  -1.323249
10.000000  |  -1.380073  -0.308866  |  -1.383093  -0.295050
ERROR: 7.550873813953751e-07

### PECE2 ###
       tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
 1.000000  |   1.377887  -0.285872  |   1.374891  -0.299621
 2.000000  |   0.501453  -1.307338  |   0.488330  -1.312221
 3.000000  |  -0.824978  -1.122715  |  -0.836121  -1.114354
 4.000000  |  -1.383536   0.087106  |  -1.382527   0.100932
 5.000000  |  -0.670907   1.205205  |  -0.658789   1.211793
 6.000000  |   0.648361   1.209681  |   0.660392   1.203077
 7.000000  |   1.361394   0.107523  |   1.362333   0.093900
 8.000000  |   0.821957  -1.082027  |   0.811056  -1.090137
 9.000000  |  -0.464020  -1.269924  |  -0.476671  -1.265157
10.000000  |  -1.312724  -0.294252  |  -1.315535  -0.281097
ERROR: 44.562119441435435

### PECE ###
       tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
 1.000000  |   1.384711  -0.287359  |   1.381768  -0.301192
 2.000000  |   0.506336  -1.320464  |   0.493107  -1.325461
 3.000000  |  -0.837576  -1.139503  |  -0.848929  -1.131070
 4.000000  |  -1.411402   0.089143  |  -1.410440   0.103253
 5.000000  |  -0.687552   1.235830  |  -0.675159   1.242644
 6.000000  |   0.668450   1.246265  |   0.680879   1.239519
 7.000000  |   1.409863   0.110855  |   1.410901   0.096751
 8.000000  |   0.855015  -1.126478  |   0.843708  -1.134972
 9.000000  |  -0.485954  -1.328101  |  -0.499211  -1.323175
10.000000  |  -1.380126  -0.308637  |  -1.383144  -0.294820
ERROR: 0.15103998627611853
