### EULER ###
      tK  |     xK[0]      xK[1]  |   xK+1[0]    xK+1[1]
0.020000  |  1.000000  -2.000000  |  0.960000  -1.920000
0.040000  |  0.960000  -1.920000  |  0.921600  -1.843200
0.060000  |  0.921600  -1.843200  |  0.884736  -1.769472
0.080000  |  0.884736  -1.769472  |  0.849347  -1.698693
0.100000  |  0.849347  -1.698693  |  0.815373  -1.630745
0.120000  |  0.815373  -1.630745  |  0.782758  -1.565516
0.140000  |  0.782758  -1.565516  |  0.751447  -1.502895
0.160000  |  0.751447  -1.502895  |  0.721390  -1.442779
0.180000  |  0.721390  -1.442779  |  0.692534  -1.385068
0.200000  |  0.692534  -1.385068  |  0.664833  -1.329665
0.220000  |  0.664833  -1.329665  |  0.638239  -1.276479
0.240000  |  0.638239  -1.276479  |  0.612710  -1.225420
0.260000  |  0.612710  -1.225420  |  0.588201  -1.176403
0.280000  |  0.588201  -1.176403  |  0.564673  -1.129347
0.300000  |  0.564673  -1.129347  |  0.542086  -1.084173
0.320000  |  0.542086  -1.084173  |  0.520403  -1.040806
0.340000  |  0.520403  -1.040806  |  0.499587  -0.999174
0.360000  |  0.499587  -0.999174  |  0.479603  -0.959207
0.380000  |  0.479603  -0.959207  |  0.460419  -0.920838
0.400000  |  0.460419  -0.920838  |  0.442002  -0.884005
0.420000  |  0.442002  -0.884005  |  0.424322  -0.848645
0.440000  |  0.424322  -0.848645  |  0.407349  -0.814699
0.460000  |  0.407349  -0.814699  |  0.391055  -0.782111
0.480000  |  0.391055  -0.782111  |  0.375413  -0.750826
0.500000  |  0.375413  -0.750826  |  0.360397  -0.720793
0.520000  |  0.360397  -0.720793  |  0.345981  -0.691962
0.540000  |  0.345981  -0.691962  |  0.332142  -0.664283
0.560000  |  0.332142  -0.664283  |  0.318856  -0.637712
0.580000  |  0.318856  -0.637712  |  0.306102  -0.612203
0.600000  |  0.306102  -0.612203  |  0.293858  -0.587715
0.620000  |  0.293858  -0.587715  |  0.282103  -0.564207
