### EULER ###
       tK  |      xK[0]     xK[1]  |    xK+1[0]   xK+1[1]
 1.000000  |  -0.333481  1.036249  |  -0.334206  1.031826
 2.000000  |  -0.216825  0.918508  |  -0.215196  0.918784
 3.000000  |  -0.091932  0.957604  |  -0.091084  0.957957
 4.000000  |  -0.035317  0.982815  |  -0.034973  0.982977
 5.000000  |  -0.013148  0.993489  |  -0.013018  0.993553
 6.000000  |  -0.004842  0.997587  |  -0.004794  0.997611
 7.000000  |  -0.001776  0.999113  |  -0.001758  0.999122
 8.000000  |  -0.000651  0.999675  |  -0.000644  0.999678
 9.000000  |  -0.000238  0.999881  |  -0.000236  0.999882
10.000000  |  -0.000087  0.999956  |  -0.000086  0.999957


### REVERSED EULER ###
       tK  |      xK[0]     xK[1]  |    xK+1[0]   xK+1[1]
 1.000000  |  -0.324436  1.048973  |  -0.325324  1.044388
 2.000000  |  -0.217804  0.920249  |  -0.216213  0.920473
 3.000000  |  -0.094032  0.957008  |  -0.093179  0.957355
 4.000000  |  -0.036629  0.982241  |  -0.036277  0.982406
 5.000000  |  -0.013800  0.993177  |  -0.013664  0.993243
 6.000000  |  -0.005137  0.997442  |  -0.005087  0.997467
 7.000000  |  -0.001904  0.999049  |  -0.001885  0.999059
 8.000000  |  -0.000705  0.999648  |  -0.000698  0.999651
 9.000000  |  -0.000261  0.999870  |  -0.000258  0.999871
10.000000  |  -0.000096  0.999952  |  -0.000095  0.999952


### TRAPEZOID ###
       tK  |      xK[0]     xK[1]  |    xK+1[0]   xK+1[1]
 1.000000  |  -0.328967  1.042607  |  -0.329774  1.038102
 2.000000  |  -0.217337  0.919356  |  -0.215726  0.919607
 3.000000  |  -0.092987  0.957299  |  -0.092137  0.957649
 4.000000  |  -0.035972  0.982527  |  -0.035624  0.982691
 5.000000  |  -0.013472  0.993334  |  -0.013339  0.993398
 6.000000  |  -0.004988  0.997515  |  -0.004939  0.997540
 7.000000  |  -0.001839  0.999082  |  -0.001821  0.999091
 8.000000  |  -0.000677  0.999662  |  -0.000671  0.999665
 9.000000  |  -0.000249  0.999875  |  -0.000247  0.999877
10.000000  |  -0.000092  0.999954  |  -0.000091  0.999955


### RUNGE-KUTTA ###
       tK  |      xK[0]     xK[1]  |    xK+1[0]   xK+1[1]
 1.000000  |  -0.328946  1.042631  |  -0.329753  1.038126
 2.000000  |  -0.217334  0.919361  |  -0.215724  0.919612
 3.000000  |  -0.092988  0.957299  |  -0.092138  0.957649
 4.000000  |  -0.035973  0.982527  |  -0.035625  0.982691
 5.000000  |  -0.013472  0.993333  |  -0.013340  0.993398
 6.000000  |  -0.004989  0.997515  |  -0.004939  0.997540
 7.000000  |  -0.001840  0.999081  |  -0.001821  0.999091
 8.000000  |  -0.000677  0.999662  |  -0.000671  0.999665
 9.000000  |  -0.000249  0.999875  |  -0.000247  0.999877
10.000000  |  -0.000092  0.999954  |  -0.000091  0.999955


### PECE2 ###
       tK  |      xK[0]     xK[1]  |    xK+1[0]   xK+1[1]
 1.000000  |  -0.324442  1.048966  |  -0.325329  1.044381
 2.000000  |  -0.217805  0.920248  |  -0.216215  0.920471
 3.000000  |  -0.094032  0.957008  |  -0.093179  0.957355
 4.000000  |  -0.036629  0.982241  |  -0.036277  0.982406
 5.000000  |  -0.013800  0.993177  |  -0.013664  0.993243
 6.000000  |  -0.005137  0.997442  |  -0.005087  0.997467
 7.000000  |  -0.001904  0.999049  |  -0.001885  0.999059
 8.000000  |  -0.000705  0.999648  |  -0.000698  0.999651
 9.000000  |  -0.000261  0.999870  |  -0.000258  0.999871
10.000000  |  -0.000096  0.999952  |  -0.000095  0.999952


### PECE ###
       tK  |      xK[0]     xK[1]  |    xK+1[0]   xK+1[1]
 1.000000  |  -0.328903  1.042680  |  -0.329710  1.038175
 2.000000  |  -0.217328  0.919372  |  -0.215718  0.919622
 3.000000  |  -0.092990  0.957300  |  -0.092140  0.957650
 4.000000  |  -0.035975  0.982526  |  -0.035627  0.982690
 5.000000  |  -0.013473  0.993333  |  -0.013341  0.993398
 6.000000  |  -0.004989  0.997515  |  -0.004940  0.997539
 7.000000  |  -0.001840  0.999081  |  -0.001821  0.999091
 8.000000  |  -0.000677  0.999661  |  -0.000671  0.999665
 9.000000  |  -0.000249  0.999875  |  -0.000247  0.999877
10.000000  |  -0.000092  0.999954  |  -0.000091  0.999955
