### EULER ###
      tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
0.100000  |  -2.125772   1.461850  |  -2.215122   1.341263
0.200000  |  -2.801835   0.556034  |  -2.847655   0.495093
0.300000  |  -3.139816   0.103834  |  -3.161406   0.074168
0.400000  |  -3.285898  -0.109980  |  -3.293258  -0.123141
0.500000  |  -3.315697  -0.197422  |  -3.313983  -0.201760
0.600000  |  -3.268063  -0.216749  |  -3.259906  -0.216257
0.700000  |  -3.162686  -0.198225  |  -3.149401  -0.194976
0.800000  |  -3.009258  -0.157532  |  -2.991474  -0.152597
0.900000  |  -2.812252  -0.102759  |  -2.790236  -0.096688


### REVERSED EULER ###
      tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
0.100000  |  -2.074077   1.533901  |  -2.161009   1.416440
0.200000  |  -2.740980   0.637249  |  -2.787121   0.575400
0.300000  |  -3.085941   0.170327  |  -3.108467   0.138825
0.400000  |  -3.241125  -0.061597  |  -3.249296  -0.076439
0.500000  |  -3.277672  -0.163998  |  -3.276457  -0.169591
0.600000  |  -3.233628  -0.193973  |  -3.225668  -0.194327
0.700000  |  -3.129090  -0.182397  |  -3.115764  -0.179677
0.800000  |  -2.974409  -0.145928  |  -2.956408  -0.141301
0.900000  |  -2.774634  -0.093518  |  -2.752277  -0.087608


### TRAPEZOID ###
      tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
0.100000  |  -2.099373   1.498687  |  -2.187516   1.379660
0.200000  |  -2.771065   0.597149  |  -2.817077   0.535708
0.300000  |  -3.112827   0.137166  |  -3.134909   0.106548
0.400000  |  -3.263640  -0.085961  |  -3.271416  -0.099978
0.500000  |  -3.296883  -0.180982  |  -3.295421  -0.185951
0.600000  |  -3.251049  -0.205636  |  -3.242990  -0.205564
0.700000  |  -3.146068  -0.190545  |  -3.132759  -0.187555
0.800000  |  -2.991982  -0.151912  |  -2.974086  -0.147126
0.900000  |  -2.793563  -0.098272  |  -2.771373  -0.092277


### RUNGE-KUTTA ###
      tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
0.100000  |  -2.099116   1.499064  |  -2.187248   1.380053
0.200000  |  -2.770777   0.597572  |  -2.816793   0.536126
0.300000  |  -3.112595   0.137509  |  -3.134683   0.106881
0.400000  |  -3.263475  -0.085716  |  -3.271258  -0.099742
0.500000  |  -3.296775  -0.180818  |  -3.295318  -0.185794
0.600000  |  -3.250983  -0.205532  |  -3.242927  -0.205465
0.700000  |  -3.146030  -0.190480  |  -3.132724  -0.187494
0.800000  |  -2.991962  -0.151873  |  -2.974068  -0.147089
0.900000  |  -2.793555  -0.098249  |  -2.771367  -0.092256


### PECE2 ###
      tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
0.100000  |  -2.074276   1.533611  |  -2.161217   1.416137
0.200000  |  -2.741207   0.636916  |  -2.787346   0.575071
0.300000  |  -3.086129   0.170052  |  -3.108650   0.138557
0.400000  |  -3.241262  -0.061797  |  -3.249429  -0.076632
0.500000  |  -3.277765  -0.164134  |  -3.276546  -0.169722
0.600000  |  -3.233689  -0.194063  |  -3.225726  -0.194412
0.700000  |  -3.129129  -0.182453  |  -3.115801  -0.179731
0.800000  |  -2.974433  -0.145963  |  -2.956431  -0.141334
0.900000  |  -2.774649  -0.093540  |  -2.752291  -0.087629


### PECE ###
      tK  |      xK[0]      xK[1]  |    xK+1[0]    xK+1[1]
0.100000  |  -2.098577   1.499854  |  -2.186686   1.380877
0.200000  |  -2.770174   0.598459  |  -2.816197   0.537003
0.300000  |  -3.112107   0.138229  |  -3.134210   0.107580
0.400000  |  -3.263130  -0.085202  |  -3.270926  -0.099247
0.500000  |  -3.296549  -0.180475  |  -3.295102  -0.185466
0.600000  |  -3.250843  -0.205313  |  -3.242794  -0.205256
0.700000  |  -3.145949  -0.190345  |  -3.132648  -0.187365
0.800000  |  -2.991921  -0.151792  |  -2.974030  -0.147012
0.900000  |  -2.793539  -0.098202  |  -2.771353  -0.092211
